year_str,(Multiple Items),,,,,,,,,,,,
,,,,,,,,,,,,,
Sum of value,Column Labels,,,,,,,,,,,,
Row Labels,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11
Profiles: Organizations," 6,617 "," 8,005 "," 8,953 "," 8,096 "," 8,710 "," 17,407 "," 6,229 "," 7,390 "," 9,245 "," 7,860 "," 8,938 "," 8,730 "," 8,092 "
Profiles: People," 10,296 "," 10,861 "," 11,201 "," 11,950 "," 12,594 "," 7,791 "," 5,289 "," 8,545 "," 7,541 "," 9,493 "," 8,680 "," 7,999 "," 9,112 "
Profiles: Products, 495 , 597 , 687 , 724 , 639 , 753 ," 1,218 "," 2,163 "," 1,893 "," 1,836 "," 1,689 "," 1,574 "," 1,526 "
Profiles," 17,408 "," 19,463 "," 20,841 "," 20,770 "," 21,943 "," 25,951 "," 12,736 "," 18,098 "," 18,679 "," 19,189 "," 19,307 "," 18,303 "," 18,730 "
Rounds: angel, 106 , 68 , 118 , 106 , 133 , 93 , 115 , 142 , 220 , 116 , 120 , 95 , 90 
Rounds: seed, 584 , 342 , 521 , 918 ," 1,368 ", 644 ," 1,405 ", 825 , 737 , 901 ," 1,155 ", 808 , 602 
Rounds: venture," 1,524 "," 1,647 "," 1,875 "," 1,826 "," 1,407 ", 879 , 985 ," 1,225 "," 1,062 ", 740 , 740 , 636 , 743 
Rounds: convertible_note, 47 , 26 , 41 , 52 , 41 , 19 , 32 , 31 , 121 , 32 , 71 , 25 , 67 
Rounds: debt_financing, 361 , 411 , 361 , 458 , 292 , 141 , 125 , 111 , 204 , 132 , 106 , 87 , 141 
Rounds: equity_crowdfunding,, 6 , 5 , 8 , 7 , 7 , 33 , 56 ," 1,672 ", 17 , 293 , 5 , 149 
Rounds: grant, 57 , 52 , 49 , 57 , 40 , 36 , 131 , 44 , 109 , 61 , 82 , 49 , 27 
Rounds: post_ipo_debt,, 2 ,, 5 , 15 , 7 , 3 , 6 , 8 , 6 , 8 , 9 , 5 
Rounds: post_ipo_equity, 15 , 10 , 15 , 35 , 51 , 19 , 31 , 31 , 17 , 31 , 26 , 19 , 14 
Rounds: private_equity, 42 , 40 , 44 , 51 , 36 , 46 , 74 , 72 , 40 , 41 , 46 , 60 , 38 
Rounds: product_crowdfunding, 13 , 16 , 25 , 10 , 7 , 4 , 13 , 11 , 14 , 13 , 13 , 10 , 7 
Rounds: secondary_market,, 17 , 3 , 1 , 2 , 4 , 5 , 1 , 2 , 5 , 4 , 5 , 3 
Rounds: undisclosed, 49 , 61 , 109 , 127 , 298 , 168 , 171 , 156 , 307 , 243 , 166 , 143 , 166 
Rounds," 2,798 "," 2,698 "," 3,166 "," 3,654 "," 3,697 "," 2,067 "," 3,123 "," 2,711 "," 4,513 "," 2,338 "," 2,830 "," 1,951 "," 2,052 "
Acquisitions, 156 , 191 , 211 , 176 , 175 , 198 , 205 , 262 , 248 , 207 , 244 , 246 , 190 
IPOs, 44 , 21 , 35 , 28 , 31 , 45 , 31 , 25 , 44 , 18 , 29 , 23 , 12 