year_str,2010,,,,,,,,,,,,
,,,,,,,,,,,,,
Sum of value,Column Labels,,,,,,,,,,,,
Row Labels,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,total
Profiles: Organizations," 2,056 "," 1,631 "," 2,130 "," 2,004 "," 1,816 "," 1,679 "," 2,350 "," 2,205 "," 2,089 "," 2,607 "," 2,197 "," 2,118 "," 24,882 "
Profiles: People," 2,175 "," 1,731 "," 1,967 "," 1,675 "," 1,950 "," 1,833 "," 2,112 "," 2,762 "," 2,356 "," 2,639 "," 2,272 "," 2,062 "," 25,534 "
Profiles: Products, 176 , 143 , 271 , 226 , 183 , 185 , 229 , 293 , 200 , 391 , 209 , 343 ," 2,849 "
Profiles," 4,407 "," 3,505 "," 4,368 "," 3,905 "," 3,949 "," 3,697 "," 4,691 "," 5,260 "," 4,645 "," 5,637 "," 4,678 "," 4,523 "," 53,265 "
Rounds: angel, 29 , 20 , 35 , 26 , 25 , 31 , 26 , 25 , 34 , 48 , 41 , 26 , 366 
Rounds: seed, 50 , 62 , 76 , 74 , 77 , 74 , 79 , 96 , 80 , 89 , 88 , 69 , 914 
Rounds: venture, 595 , 550 , 880 ," 1,160 ", 567 , 455 , 607 , 412 , 418 , 822 , 317 , 231 ," 7,014 "
Rounds: convertible_note,, 1 , 1 ,,,,,,,, 1 ,, 3 
Rounds: debt_financing, 58 , 31 , 48 , 39 , 17 , 14 , 10 , 9 , 13 , 10 , 17 , 10 , 276 
Rounds: grant, 22 , 4 , 11 , 5 , 4 , 6 , 10 , 11 , 13 , 18 , 13 , 4 , 121 
Rounds: post_ipo_debt, 1 ,,,,,,, 1 ,,,,, 2 
Rounds: post_ipo_equity, 1 , 2 ,,,,,,,, 1 , 1 ,, 5 
Rounds: private_equity, 14 , 11 , 13 , 8 , 6 , 6 , 15 , 3 , 3 , 8 , 6 , 3 , 96 
Rounds: secondary_market,,,,,,, 1 ,,,,,, 1 
Rounds: undisclosed, 40 , 30 , 24 , 19 , 3 , 15 , 8 , 9 , 11 , 31 , 23 , 25 , 238 
Rounds, 810 , 711 ," 1,088 "," 1,331 ", 699 , 601 , 756 , 566 , 572 ," 1,027 ", 507 , 368 ," 9,036 "
Acquisitions, 177 , 120 , 135 , 120 , 132 , 165 , 98 , 99 , 152 , 124 , 110 , 152 ," 1,584 "
IPOs, 14 , 12 , 18 , 30 , 13 , 20 , 33 , 14 , 11 , 25 , 35 , 27 , 252 